Leitores,Escritores,Tempo,Version
100,0,0.009,3
99,1,0.010,3
98,2,0.011,3
97,3,0.013,3
96,4,0.015,3
95,5,0.018,3
94,6,0.020,3
93,7,0.022,3
92,8,0.024,3
91,9,0.025,3
90,10,0.028,3
89,11,0.030,3
88,12,0.032,3
87,13,0.033,3
86,14,0.035,3
85,15,0.037,3
84,16,0.039,3
83,17,0.040,3
82,18,0.043,3
81,19,0.044,3
80,20,0.046,3
79,21,0.047,3
78,22,0.049,3
77,23,0.050,3
76,24,0.053,3
75,25,0.053,3
74,26,0.056,3
73,27,0.057,3
72,28,0.059,3
71,29,0.060,3
70,30,0.061,3
69,31,0.063,3
68,32,0.065,3
67,33,0.066,3
66,34,0.068,3
65,35,0.069,3
64,36,0.071,3
63,37,0.072,3
62,38,0.073,3
61,39,0.074,3
60,40,0.076,3
59,41,0.077,3
58,42,0.078,3
57,43,0.080,3
56,44,0.081,3
55,45,0.083,3
54,46,0.084,3
53,47,0.085,3
52,48,0.086,3
51,49,0.087,3
50,50,0.088,3
49,51,0.090,3
48,52,0.091,3
47,53,0.092,3
46,54,0.093,3
45,55,0.094,3
44,56,0.094,3
43,57,0.096,3
42,58,0.097,3
41,59,0.098,3
40,60,0.098,3
39,61,0.100,3
38,62,0.102,3
37,63,0.104,3
36,64,0.102,3
35,65,0.102,3
34,66,0.104,3
33,67,0.105,3
32,68,0.105,3
31,69,0.105,3
30,70,0.107,3
29,71,0.107,3
28,72,0.108,3
27,73,0.108,3
26,74,0.109,3
25,75,0.110,3
24,76,0.110,3
23,77,0.111,3
22,78,0.111,3
21,79,0.112,3
20,80,0.113,3
19,81,0.113,3
18,82,0.112,3
17,83,0.113,3
16,84,0.114,3
15,85,0.115,3
14,86,0.114,3
13,87,0.115,3
12,88,0.115,3
11,89,0.116,3
10,90,0.115,3
9,91,0.116,3
8,92,0.116,3
7,93,0.116,3
6,94,0.116,3
5,95,0.117,3
4,96,0.115,3
3,97,0.116,3
2,98,0.116,3
1,99,0.116,3
0,100,0.116,3
