Leitores,Escritores,Tempo,Version
100,0,0.009,2
99,1,0.009,2
98,2,0.010,2
97,3,0.010,2
96,4,0.012,2
95,5,0.012,2
94,6,0.013,2
93,7,0.015,2
92,8,0.016,2
91,9,0.017,2
90,10,0.018,2
89,11,0.019,2
88,12,0.020,2
87,13,0.021,2
86,14,0.022,2
85,15,0.023,2
84,16,0.025,2
83,17,0.026,2
82,18,0.026,2
81,19,0.027,2
80,20,0.028,2
79,21,0.030,2
78,22,0.031,2
77,23,0.032,2
76,24,0.033,2
75,25,0.034,2
74,26,0.035,2
73,27,0.037,2
72,28,0.038,2
71,29,0.039,2
70,30,0.039,2
69,31,0.041,2
68,32,0.042,2
67,33,0.043,2
66,34,0.044,2
65,35,0.046,2
64,36,0.047,2
63,37,0.048,2
62,38,0.049,2
61,39,0.050,2
60,40,0.051,2
59,41,0.052,2
58,42,0.053,2
57,43,0.055,2
56,44,0.056,2
55,45,0.057,2
54,46,0.058,2
53,47,0.059,2
52,48,0.061,2
51,49,0.061,2
50,50,0.063,2
49,51,0.064,2
48,52,0.065,2
47,53,0.066,2
46,54,0.067,2
45,55,0.069,2
44,56,0.070,2
43,57,0.070,2
42,58,0.072,2
41,59,0.073,2
40,60,0.074,2
39,61,0.075,2
38,62,0.077,2
37,63,0.077,2
36,64,0.079,2
35,65,0.080,2
34,66,0.081,2
33,67,0.082,2
32,68,0.083,2
31,69,0.085,2
30,70,0.086,2
29,71,0.087,2
28,72,0.088,2
27,73,0.091,2
26,74,0.091,2
25,75,0.091,2
24,76,0.093,2
23,77,0.095,2
22,78,0.095,2
21,79,0.096,2
20,80,0.097,2
19,81,0.099,2
18,82,0.100,2
17,83,0.102,2
16,84,0.102,2
15,85,0.104,2
14,86,0.104,2
13,87,0.106,2
12,88,0.107,2
11,89,0.108,2
10,90,0.109,2
9,91,0.110,2
8,92,0.111,2
7,93,0.112,2
6,94,0.113,2
5,95,0.114,2
4,96,0.115,2
3,97,0.117,2
2,98,0.118,2
1,99,0.120,2
0,100,0.119,2
